0,International Date Line West
1,Midway Island
2,Samoa
3,Hawaii
4,Alaska
5,Pacific Time (US & Canada)
6,Tijuana
7,Arizona
8,Chihuahua
9,Mazatlan
10,Mountain Time (US & Canada)
11,Saskatchewan
12,Guadalajara
13,Mexico City
14,Monterrey
15,Central America
16,Central Time (US & Canada)
17,Bogota
18,Lima
19,Quito
20,Eastern Time (US & Canada)
21,Indiana (East)
22,Caracas
23,La Paz
24,Georgetown
25,Atlantic Time (Canada)
26,Santiago
27,Brasilia
28,Buenos Aires
29,Greenland
30,Newfoundland
31,Mid-Atlantic
32,Azores
33,Cape Verde Is.
34,Dublin
35,Edinburgh
36,Lisbon
37,London
38,Casablanca
39,Monrovia
40,UTC
41,Belgrade
42,Bratislava
43,Budapest
44,Ljubljana
45,Prague
46,Sarajevo
47,Skopje
48,Warsaw
49,Zagreb
50,Brussels
51,Copenhagen
52,Madrid
53,Paris
54,Amsterdam
55,Berlin
56,Bern
57,Rome
58,Stockholm
59,Vienna
60,West Central Africa
61,Bucharest
62,Cairo
63,Helsinki
64,Kiev
65,Kyiv
66,Riga
67,Sofia
68,Tallinn
69,Vilnius
70,Athens
71,Jerusalem
72,Harare
73,Pretoria
74,Istanbul
75,Minsk
76,Moscow
77,St. Petersburg
78,Volgograd
79,Kuwait
80,Riyadh
81,Nairobi
82,Baghdad
83,Abu Dhabi
84,Muscat
85,Baku
86,Tbilisi
87,Yerevan
88,Tehran
89,Kabul
90,Ekaterinburg
91,Islamabad
92,Karachi
93,Tashkent
94,Chennai
95,Kolkata
96,Mumbai
97,New Delhi
98,Sri Jayawardenepura
99,Kathmandu
100,Astana
101,Dhaka
102,Almaty
103,Urumqi
104,Rangoon
105,Novosibirsk
106,Bangkok
107,Hanoi
108,Jakarta
109,Krasnoyarsk
110,Beijing
111,Chongqing
112,Hong Kong
113,Kuala Lumpur
114,Singapore
115,Taipei
116,Perth
117,Irkutsk
118,Ulaan Bataar
119,Seoul
120,Osaka
121,Sapporo
122,Tokyo
123,Yakutsk
124,Darwin
125,Brisbane
126,Vladivostok
127,Guam
128,Port Moresby
129,Solomon Is.
130,Adelaide
131,Canberra
132,Melbourne
133,Sydney
134,Hobart
135,Magadan
136,New Caledonia
137,Fiji
138,Kamchatka
139,Marshall Is.
140,Auckland
141,Wellington
142,Nuku'alofa